#{"t_start": 1763847316.5445144, "env_id": "None"}
r,l,t
-89.4,1000,1.028149
-88.1,1000,2.068853
-89.4,1000,3.133342
-88.4,1000,4.50157
-89.8,1000,5.750031
-89.6,1000,6.923208
-87.7,1000,7.961703
-89.6,1000,9.003838
-87.0,1000,10.045224
-89.4,1000,11.080026
-91.7,1000,12.224246
-88.6,1000,13.449041
-85.0,1000,14.681585
-91.8,1000,15.73039
-90.8,1000,16.784746
-89.9,1000,17.827076
-90.4,1000,18.881149
-88.6,1000,19.988375
-89.4,1000,21.234642
-90.9,1000,22.47926
-85.7,1000,37.782705
-12.0,1000,53.091287
-14.3,1000,68.415213
-12.5,1000,83.934588
-15.8,1000,99.47302
-12.8,1000,114.561629
-14.9,1000,129.412573
-17.1,1000,144.115256
-13.8,1000,158.916116
-13.7,1000,173.622523
-15.7,1000,188.348551
-15.0,1000,203.038085
-14.8,1000,217.836385
-16.6,1000,232.448316
-16.3,1000,247.11367
-15.1,1000,261.157871
-16.2,1000,276.164767
-16.5,1000,291.128365
-15.0,1000,305.59534
-16.5,1000,320.587635
-14.1,1000,335.369814
-18.58,868,348.520537
-14.8,1000,363.615119
-2.81,801,376.02434
-2.15,895,389.331886
-12.94,584,397.94685
-9.04,294,402.309659
-9.3,320,407.092071
6.57,223,410.258368
-11.14,384,415.994037
2.67,453,422.769346
5.86,284,426.931285
-15.53,773,437.946415
8.74,96,439.305576
4.49,311,443.879298
5.82,248,447.383132
6.58,252,451.077065
6.19,301,454.950303
8.07,153,457.097839
-6.71,151,459.200378
7.89,191,461.840116
8.65,75,462.963936
6.07,313,467.28776
8.55,125,468.976933
7.21,199,471.897289
6.87,213,474.744218
6.04,326,479.332254
8.84,106,480.722088
8.67,113,482.226384
-1.47,527,489.429753
-12.7,1000,502.574106
8.51,109,504.015171
-0.25,605,512.098263
7.33,207,514.983815
4.23,237,518.14342
-13.4,1000,531.328909
2.95,525,538.482815
6.38,232,541.475828
-2.89,329,546.070582
-8.21,201,548.672222
-3.1,580,556.065472
8.52,98,557.370512
-16.15,555,564.042563
3.68,342,568.316668
3.22,348,572.710212
3.38,372,577.6227
-19.49,789,587.961143
1.36,194,590.561048
2.18,272,594.052399
3.58,112,595.645216
3.47,353,600.284057
8.05,115,601.798901
7.04,86,603.026633
0.11,329,607.295063
-10.51,291,611.110011
0.21,439,616.682474
-2.14,784,626.900172
6.72,198,629.375265
2.27,513,636.058579
-12.32,622,644.128539
7.12,178,646.426133
-11.66,516,653.115024
7.61,179,655.42952
8.09,171,657.622718
7.7,180,659.818341
5.88,222,662.532553
-12.4,1000,674.095948
-14.6,1000,686.334317
-19.9,1000,698.519033
-17.0,1000,710.916894
-15.5,1000,722.95177
-15.5,1000,735.496501
-19.2,1000,747.738093
6.02,188,750.061509
-0.19,619,757.393619
4.87,313,760.930108
7.36,194,763.281557
5.18,312,766.869572
7.99,121,768.242227
6.11,289,771.724181
6.11,229,774.326517
6.26,144,775.925755
2.73,467,781.386877
6.34,236,783.990867
6.87,153,785.742168
7.98,92,786.859013
8.36,94,787.971416
7.4,150,789.613118
7.11,149,791.182203
6.62,148,792.761942
8.04,126,794.210465
8.04,126,795.673032
9.21,59,796.323199
8.12,98,797.334906
6.75,145,798.842431
8.03,157,800.445634
4.08,142,802.023326
3.1,440,807.0451
-8.35,215,809.376915
8.36,94,810.432807
-14.4,1000,820.552736
7.4,210,822.58984
7.55,105,823.599086
1.33,227,826.053904
3.82,148,827.751714
-4.97,217,829.942584
-0.23,543,835.81609
-20.0,1000,846.604902
-12.8,1000,857.362676
0.72,578,863.562187
8.64,86,864.392431
1.86,744,872.428177
4.79,401,876.944885
8.53,87,877.83859
6.99,221,880.075018
7.0,170,881.978382
7.19,241,884.666613
9.15,65,885.341736
7.67,133,886.739027
9.29,71,887.471712
8.62,108,888.662788
8.03,157,890.526407
5.41,239,893.256736
2.29,271,896.264854
-13.34,464,901.771234
8.19,101,902.899227
9.1,60,903.55832
8.1,140,905.089605
9.08,62,905.811672
6.82,128,907.281971
8.13,87,908.221745
7.93,87,909.141122
8.27,93,910.158262
8.67,73,910.936764
8.62,68,911.656955
6.86,144,913.294631
6.9,100,914.54682
4.21,179,916.573837
9.15,65,917.26711
7.87,93,918.257669
7.68,102,919.317441
7.75,145,920.906639
6.75,125,922.402634
6.69,131,923.966501
7.32,98,924.973481
7.48,102,926.059575
6.9,120,927.306622
8.24,86,928.202808
-4.9,340,932.075137
-44.9,1000,942.82442
-74.9,1000,953.824997
-89.3,1000,965.02865
-82.6,1000,975.870123
-99.3,1000,986.826444
-89.0,1000,998.013111
-99.5,1000,1009.297305
-75.1,1000,1020.658072
4.45,95,1021.853581
-17.49,489,1027.243218
-13.0,1000,1038.898111
7.46,84,1039.824583
8.91,69,1040.568367
8.35,65,1041.268303
-12.6,1000,1052.714589
8.21,59,1053.451762
1.14,436,1058.173496
8.81,59,1058.83516
8.38,72,1059.655807
8.78,72,1060.519095
7.6,110,1061.862729
7.73,67,1062.616467
8.63,57,1063.177775
8.34,56,1063.724825
8.92,58,1064.280696
8.54,56,1064.836814
8.8,50,1065.329448
-61.4,1000,1076.533074
7.76,74,1077.481024
-92.8,1000,1089.088513
9.09,51,1089.682741
-36.3,1000,1101.336822
9.4,50,1101.964967
9.12,58,1102.725539
9.34,56,1103.401264
9.47,53,1103.987225
9.31,49,1104.522637
9.34,56,1105.114661
9.11,69,1105.872888
9.16,54,1106.459197
8.82,68,1107.189711
7.68,102,1108.322655
9.45,55,1109.011591
8.51,69,1109.88244
9.41,59,1110.596061
8.59,61,1111.311729
6.49,151,1113.025227
8.24,106,1114.247859
9.35,65,1114.939387
-5.77,57,1115.622358
8.91,69,1116.444952
9.12,58,1117.155492
9.41,59,1117.916361
9.19,61,1118.676961
7.99,121,1120.254632
8.19,101,1121.437801
